user_id,name,email,US_state,Gender,Item_id,Rating,datetime
50,Chang,jonathandixon@yahoo.com,MA,F,7,3,"(datetime.datetime(1993, 6, 26, 13, 1, 52), 2821.6749205251813)"
39,Faulkner,patriciarobinson@gmail.com,SF,F,2,2,"(datetime.datetime(1993, 6, 26, 14, 1, 52), 503.084825880044)"
13,Montgomery,reneemcgrath@hotmail.com,IL,F,9,2,"(datetime.datetime(1993, 6, 26, 15, 1, 52), 3247.797421582498)"
40,Garcia,jeffersonmark@yahoo.com,Texas,Not Specified,7,2,"(datetime.datetime(1993, 6, 26, 16, 1, 52), 1273.6487862692668)"
41,Carr,ylevy@hotmail.com,FL,F,13,2,"(datetime.datetime(1993, 6, 26, 17, 1, 52), 937.7723174110539)"
71,Moon,larsenjennifer@hotmail.com,NY,Not Specified,8,1,"(datetime.datetime(1993, 6, 26, 18, 1, 52), 2250.956985385076)"
79,Snyder,qsanchez@hotmail.com,NY,F,12,2,"(datetime.datetime(1993, 6, 26, 19, 1, 52), 687.841529408606)"
73,Walker,cthomas@gmail.com,IL,F,9,3,"(datetime.datetime(1993, 6, 26, 20, 1, 52), 3575.5975928321222)"
66,Bolton,kevincarter@gmail.com,WA,F,4,3,"(datetime.datetime(1993, 6, 26, 21, 1, 52), 1197.90184596241)"
70,Harris,opayne@gmail.com,IL,F,4,2,"(datetime.datetime(1993, 6, 26, 22, 1, 52), 2872.566069555611)"
41,Johnston,jaimelopez@yahoo.com,Texas,F,12,2,"(datetime.datetime(1993, 6, 26, 23, 1, 52), 2363.973800362664)"
61,Jones,david20@hotmail.com,Texas,F,6,2,"(datetime.datetime(1993, 6, 27, 0, 1, 52), 3233.4232368883645)"
70,Vega,bwarren@gmail.com,SF,M,4,3,"(datetime.datetime(1993, 6, 27, 1, 1, 52), 774.7246624688823)"
87,Lawrence,xriley@yahoo.com,MA,F,12,0,"(datetime.datetime(1993, 6, 27, 2, 1, 52), 3586.528221672862)"
46,Miller,tom53@gmail.com,IL,M,5,2,"(datetime.datetime(1993, 6, 27, 3, 1, 52), 2633.361194847052)"
15,Thornton,georgesimmons@gmail.com,NY,Not Specified,14,3,"(datetime.datetime(1993, 6, 27, 4, 1, 52), 2819.226635447819)"
90,Robinson,wwalters@yahoo.com,WA,F,12,4,"(datetime.datetime(1993, 6, 27, 5, 1, 52), 266.38881933769903)"
16,Reid,barbara61@yahoo.com,NY,Not Specified,12,3,"(datetime.datetime(1993, 6, 27, 6, 1, 52), 3529.859942330167)"
5,Jacobs,arellanojennifer@yahoo.com,SF,M,7,2,"(datetime.datetime(1993, 6, 27, 7, 1, 52), 2617.758826037405)"
8,Giles,colemancraig@gmail.com,FL,F,13,2,"(datetime.datetime(1993, 6, 27, 8, 1, 52), 794.9853767387425)"
83,Turner,brucemcdonald@yahoo.com,WA,F,10,5,"(datetime.datetime(1993, 6, 27, 9, 1, 52), 2517.5632503453385)"
51,Gonzalez,jessicamassey@hotmail.com,MA,F,4,3,"(datetime.datetime(1993, 6, 27, 10, 1, 52), 609.9285819508837)"
87,Harris,ikramer@gmail.com,MA,F,1,2,"(datetime.datetime(1993, 6, 27, 11, 1, 52), 1906.107202935773)"
16,Carlson,gregoryruiz@yahoo.com,MA,M,13,2,"(datetime.datetime(1993, 6, 27, 12, 1, 52), 2048.8058622874087)"
66,Lowery,paul42@yahoo.com,IL,F,2,2,"(datetime.datetime(1993, 6, 27, 13, 1, 52), 44.770747785531825)"
95,Miller,amy23@hotmail.com,IL,M,4,2,"(datetime.datetime(1993, 6, 27, 14, 1, 52), 1734.5774983466565)"
79,Roberts,staceyschultz@yahoo.com,IL,M,9,3,"(datetime.datetime(1993, 6, 27, 15, 1, 52), 2576.2296610852427)"
50,Goodman,emiller@hotmail.com,MA,M,1,5,"(datetime.datetime(1993, 6, 27, 16, 1, 52), 576.2872044883478)"
29,Walsh,nancycarroll@yahoo.com,WA,F,15,1,"(datetime.datetime(1993, 6, 27, 17, 1, 52), 1448.1614704286865)"
90,Bradley,ifletcher@gmail.com,IL,F,3,0,"(datetime.datetime(1993, 6, 27, 18, 1, 52), 2525.458203015265)"
58,Rose,annacampos@hotmail.com,WA,Not Specified,15,2,"(datetime.datetime(1993, 6, 27, 19, 1, 52), 1780.4976133510324)"
40,Monroe,carsonterri@yahoo.com,SF,M,15,2,"(datetime.datetime(1993, 6, 27, 20, 1, 52), 1974.8234331452343)"
82,Irwin,aanderson@hotmail.com,SF,Not Specified,5,2,"(datetime.datetime(1993, 6, 27, 21, 1, 52), 1502.9462720322435)"
1,Lewis,aaron89@gmail.com,FL,F,8,2,"(datetime.datetime(1993, 6, 27, 22, 1, 52), 428.054021225085)"
84,Gonzalez,haleywhite@yahoo.com,SF,Not Specified,6,4,"(datetime.datetime(1993, 6, 27, 23, 1, 52), 3321.9710218020246)"
81,Miller,shawnsparks@hotmail.com,MA,Not Specified,1,2,"(datetime.datetime(1993, 6, 28, 0, 1, 52), 480.3139951291766)"
67,Roth,darin24@hotmail.com,SF,F,2,3,"(datetime.datetime(1993, 6, 28, 1, 1, 52), 152.2713672100587)"
27,Becker,stacey90@hotmail.com,FL,M,9,2,"(datetime.datetime(1993, 6, 28, 2, 1, 52), 3460.330475306282)"
78,Rios,raven65@hotmail.com,WA,F,5,2,"(datetime.datetime(1993, 6, 28, 3, 1, 52), 641.8379511552955)"
49,Matthews,hernandezmathew@hotmail.com,IL,M,5,3,"(datetime.datetime(1993, 6, 28, 4, 1, 52), 2586.5979219775422)"
44,Chan,nelsonedward@yahoo.com,SF,F,11,2,"(datetime.datetime(1993, 6, 28, 5, 1, 52), 1299.2638008389704)"
71,Anderson,crosssarah@gmail.com,Texas,M,2,2,"(datetime.datetime(1993, 6, 28, 6, 1, 52), 3085.3316864593385)"
94,Jones,markperry@gmail.com,Texas,F,12,3,"(datetime.datetime(1993, 6, 28, 7, 1, 52), 3271.16719582841)"
61,Rogers,gburnett@gmail.com,SF,Not Specified,14,2,"(datetime.datetime(1993, 6, 28, 8, 1, 52), 1791.8442721331653)"
5,Turner,patricia29@yahoo.com,MA,Not Specified,13,2,"(datetime.datetime(1993, 6, 28, 9, 1, 52), 3508.4178773268986)"
82,Miller,lgonzalez@yahoo.com,FL,F,3,2,"(datetime.datetime(1993, 6, 28, 10, 1, 52), 353.0754373796926)"
72,Stone,tracyrichards@hotmail.com,Texas,M,11,2,"(datetime.datetime(1993, 6, 28, 11, 1, 52), 1522.937064626721)"
48,Robinson,irichards@gmail.com,FL,F,5,3,"(datetime.datetime(1993, 6, 28, 12, 1, 52), 414.04464118099656)"
90,Johnson,karen31@yahoo.com,FL,F,3,2,"(datetime.datetime(1993, 6, 28, 13, 1, 52), 923.3268286737433)"
83,Williams,hlewis@gmail.com,Texas,F,9,3,"(datetime.datetime(1993, 6, 28, 14, 1, 52), 1360.915071531471)"
70,Wilcox,carlsontony@yahoo.com,NY,F,12,3,"(datetime.datetime(1993, 6, 28, 15, 1, 52), 2298.108762858407)"
55,Rich,sallymorris@yahoo.com,Texas,F,5,3,"(datetime.datetime(1993, 6, 28, 16, 1, 52), 1795.1277307140322)"
86,Baxter,sarah05@hotmail.com,Texas,M,6,2,"(datetime.datetime(1993, 6, 28, 17, 1, 52), 2689.3399867149365)"
41,Meyers,hernandezjonathan@hotmail.com,IL,F,6,2,"(datetime.datetime(1993, 6, 28, 18, 1, 52), 3032.399977478522)"
75,Phillips,thomas18@hotmail.com,MA,Not Specified,5,2,"(datetime.datetime(1993, 6, 28, 19, 1, 52), 141.89698576090365)"
29,Anderson,katherinewest@hotmail.com,WA,F,13,2,"(datetime.datetime(1993, 6, 28, 20, 1, 52), 2882.323617754505)"
84,Murray,patrickmoreno@gmail.com,FL,Not Specified,13,2,"(datetime.datetime(1993, 6, 28, 21, 1, 52), 326.3288054083052)"
67,Chang,vburgess@gmail.com,IL,F,10,2,"(datetime.datetime(1993, 6, 28, 22, 1, 52), 1927.4986955828915)"
77,Butler,ybruce@yahoo.com,Texas,F,6,2,"(datetime.datetime(1993, 6, 28, 23, 1, 52), 840.8559461291117)"
3,Sandoval,whitewilliam@gmail.com,IL,M,12,3,"(datetime.datetime(1993, 6, 29, 0, 1, 52), 236.23503578183076)"
34,Hahn,rickypatrick@gmail.com,WA,F,4,2,"(datetime.datetime(1993, 6, 29, 1, 1, 52), 2307.5455052248208)"
17,Allen,matthew07@yahoo.com,IL,F,1,3,"(datetime.datetime(1993, 6, 29, 2, 1, 52), 1770.5914527465502)"
78,Love,edward56@gmail.com,IL,M,4,0,"(datetime.datetime(1993, 6, 29, 3, 1, 52), 1678.604249597034)"
59,Williams,edwardjohnson@yahoo.com,NY,F,10,2,"(datetime.datetime(1993, 6, 29, 4, 1, 52), 2267.878648386008)"
14,Graves,james71@hotmail.com,WA,M,10,2,"(datetime.datetime(1993, 6, 29, 5, 1, 52), 2196.431074462404)"
60,Mendez,ysantos@hotmail.com,NY,F,6,0,"(datetime.datetime(1993, 6, 29, 6, 1, 52), 1066.9910016569447)"
17,Mullen,kellyreese@hotmail.com,IL,F,4,2,"(datetime.datetime(1993, 6, 29, 7, 1, 52), 3540.233082450204)"
16,Stone,olopez@yahoo.com,WA,F,10,2,"(datetime.datetime(1993, 6, 29, 8, 1, 52), 2723.818396670514)"
59,Kelly,sue07@gmail.com,MA,M,1,2,"(datetime.datetime(1993, 6, 29, 9, 1, 52), 95.96160502150406)"
67,Estrada,jason18@hotmail.com,FL,F,5,4,"(datetime.datetime(1993, 6, 29, 10, 1, 52), 1512.4000178693548)"
40,Dougherty,snowrobert@gmail.com,Texas,F,8,3,"(datetime.datetime(1993, 6, 29, 11, 1, 52), 377.1526358746609)"
9,Garcia,bnavarro@yahoo.com,SF,F,13,2,"(datetime.datetime(1993, 6, 29, 12, 1, 52), 2471.105175474809)"
4,Crawford,nnguyen@yahoo.com,MA,Not Specified,13,2,"(datetime.datetime(1993, 6, 29, 13, 1, 52), 436.96079919719614)"
89,Johnson,alejandromccann@hotmail.com,MA,F,9,2,"(datetime.datetime(1993, 6, 29, 14, 1, 52), 253.8634013214745)"
19,Clark,nunezshawna@gmail.com,NY,Not Specified,13,2,"(datetime.datetime(1993, 6, 29, 15, 1, 52), 25.864442108173648)"
48,Norris,hhall@yahoo.com,MA,M,14,2,"(datetime.datetime(1993, 6, 29, 16, 1, 52), 1716.0980704428148)"
91,Haley,levymichael@yahoo.com,MA,F,11,2,"(datetime.datetime(1993, 6, 29, 17, 1, 52), 1053.4751494739046)"
71,Fields,kaisercurtis@yahoo.com,SF,F,2,1,"(datetime.datetime(1993, 6, 29, 18, 1, 52), 563.0510162988315)"
